Line Addr Code  Label     Mne       Operand   Comments  
1    0000                                     ; TestImmediate.asm - Test immediate instructions.
2    0000                                               
3    0001 80              enter.u5  0         ; OK, number <u5> [0..31].
4    0002 81              enter.u5  1         ; OK, number <u5> [0..31].
5    0003 82              enter.u5  2         ; OK, number <u5> [0..31].
6    0004 83              enter.u5  3         ; OK, number <u5> [0..31].
7    0005 84              enter.u5  4         ; OK, number <u5> [0..31].
8    0006 85              enter.u5  5         ; OK, number <u5> [0..31].
9    0007 86              enter.u5  6         ; OK, number <u5> [0..31].
10   0008 87              enter.u5  7         ; OK, number <u5> [0..31].
11   0009 88              enter.u5  8         ; OK, number <u5> [0..31].
12   000A 89              enter.u5  9         ; OK, number <u5> [0..31].
13   000B 8A              enter.u5  10        ; OK, number <u5> [0..31].
14   000C 8B              enter.u5  11        ; OK, number <u5> [0..31].
15   000D 8C              enter.u5  12        ; OK, number <u5> [0..31].
16   000E 8D              enter.u5  13        ; OK, number <u5> [0..31].
17   000F 8E              enter.u5  14        ; OK, number <u5> [0..31].
18   0010 8F              enter.u5  15        ; OK, number <u5> [0..31].
19   0011 70              enter.u5  16        ; OK, number <u5> [0..31].
20   0012 71              enter.u5  17        ; OK, number <u5> [0..31].
21   0013 72              enter.u5  18        ; OK, number <u5> [0..31].
22   0014 73              enter.u5  19        ; OK, number <u5> [0..31].
23   0015 74              enter.u5  20        ; OK, number <u5> [0..31].
24   0016 75              enter.u5  21        ; OK, number <u5> [0..31].
25   0017 76              enter.u5  22        ; OK, number <u5> [0..31].
26   0018 77              enter.u5  23        ; OK, number <u5> [0..31].
27   0019 78              enter.u5  24        ; OK, number <u5> [0..31].
28   001A 79              enter.u5  25        ; OK, number <u5> [0..31].
29   001B 7A              enter.u5  26        ; OK, number <u5> [0..31].
30   001C 7B              enter.u5  27        ; OK, number <u5> [0..31].
31   001D 7C              enter.u5  28        ; OK, number <u5> [0..31].
32   001E 7D              enter.u5  29        ; OK, number <u5> [0..31].
33   001F 7E              enter.u5  30        ; OK, number <u5> [0..31].
34   0020 7F              enter.u5  31        ; OK, number <u5> [0..31].
35   0020                                               
36   0021 90              ldc.i3    0         ; OK, number <i3> [-4..3].
37   0022 91              ldc.i3    1         ; OK, number <i3> [-4..3].
38   0023 92              ldc.i3    2         ; OK, number <i3> [-4..3].
39   0024 93              ldc.i3    3         ; OK, number <i3> [-4..3].
40   0025 94              ldc.i3    -4        ; OK, number <i3> [-4..3].
41   0026 97              ldc.i3    -3        ; OK, number <i3> [-4..3].
42   0027 96              ldc.i3    -2        ; OK, number <i3> [-4..3].
43   0028 97              ldc.i3    -1        ; OK, number <i3> [-4..3].
44   0028                                               
45   0029 98              addv.u3   0         ; OK, number <u3> [0..7].
46   002A 99              addv.u3   1         ; OK, number <u3> [0..7].
47   002B 9A              addv.u3   2         ; OK, number <u3> [0..7].
48   002C 9B              addv.u3   3         ; OK, number <u3> [0..7].
49   002D 9C              addv.u3   4         ; OK, number <u3> [0..7].
50   002E 9D              addv.u3   5         ; OK, number <u3> [0..7].
51   002F 9E              addv.u3   6         ; OK, number <u3> [0..7].
52   0030 9F              addv.u3   7         ; OK, number <u3> [0..7].
53   0030                                               
54   0031 A0              ldv.u3    0         ; OK, number <u3> [0..7].
55   0032 A1              ldv.u3    1         ; OK, number <u3> [0..7].
56   0033 A2              ldv.u3    2         ; OK, number <u3> [0..7].
57   0034 A3              ldv.u3    3         ; OK, number <u3> [0..7].
58   0035 A4              ldv.u3    4         ; OK, number <u3> [0..7].
59   0036 A5              ldv.u3    5         ; OK, number <u3> [0..7].
60   0037 A6              ldv.u3    6         ; OK, number <u3> [0..7].
61   0038 A7              ldv.u3    7         ; OK, number <u3> [0..7].
62   0038                                               
63   0039 A8              stv.u3    0         ; OK, number <u3> [0..7].
64   003A A9              stv.u3    1         ; OK, number <u3> [0..7].
65   003B AA              stv.u3    2         ; OK, number <u3> [0..7].
66   003C AB              stv.u3    3         ; OK, number <u3> [0..7].
67   003D AC              stv.u3    4         ; OK, number <u3> [0..7].
68   003E AD              stv.u3    5         ; OK, number <u3> [0..7].
69   003F AE              stv.u3    6         ; OK, number <u3> [0..7].
70   0040 AF              stv.u3    7         ; OK, number <u3> [0..7].
